especie,contig,tipo,inicio,fin,categoria
cordyceps_militaris,CP023328.1,T1PKS,1604823,1672339,PKS (policétidos)
cordyceps_militaris,CP023327.1,T1PKS,0,57887,PKS (policétidos)
cordyceps_militaris,CP023327.1,terpene-precursor,2321009,2352398,Terpenos
cordyceps_militaris,CP023327.1,T1PKS,2407367,2474117,PKS (policétidos)
cordyceps_militaris,CP023326.1,"NRPS, T1PKS",12530,85130,PKS (policétidos)
cordyceps_militaris,CP023326.1,isocyanide-nrp,324387,404196,Otro
cordyceps_militaris,CP023326.1,NRPS,1020043,1084292,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023326.1,NRPS,1246361,1310651,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023326.1,terpene,2869617,2900685,Terpenos
cordyceps_militaris,CP023322.1,terpene,184497,216796,Terpenos
cordyceps_militaris,CP023322.1,NRPS-like,860080,923940,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023322.1,NRPS,1576864,1640579,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023325.1,"NRPS, T1PKS",1171632,1259181,PKS (policétidos)
cordyceps_militaris,CP023325.1,indole,1782499,1817424,Otro
cordyceps_militaris,CP023325.1,terpene,2645222,2676332,Terpenos
cordyceps_militaris,CP023325.1,isocyanide,2953155,3015268,Otro
cordyceps_militaris,CP023325.1,"NRP-metallophore, NRPS",3025949,3107372,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023325.1,T1PKS,3679751,3747299,PKS (policétidos)
cordyceps_militaris,CP023325.1,terpene,3815530,3846699,Terpenos
cordyceps_militaris,CP023325.1,"NRPS, T1PKS",4446387,4534765,PKS (policétidos)
cordyceps_militaris,CP023325.1,"T1PKS, NRPS",5695472,5773640,PKS (policétidos)
cordyceps_militaris,CP023323.1,T1PKS,1033495,1101128,PKS (policétidos)
cordyceps_militaris,CP023323.1,NRPS,1336981,1410349,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023323.1,terpene-precursor,1562663,1593766,Terpenos
cordyceps_militaris,CP023323.1,"terpene-precursor, terpene",2103768,2161930,Terpenos
cordyceps_militaris,CP023323.1,NRPS-like,3261608,3325469,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023323.1,NRPS,4080597,4145469,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023323.1,T1PKS,4317138,4384354,PKS (policétidos)
cordyceps_militaris,CP023323.1,fungal-RiPP,5439168,5498373,Otro
cordyceps_militaris,CP023323.1,T1PKS,5781598,5850010,PKS (policétidos)
cordyceps_militaris,CP023324.1,"NRPS, T1PKS",180426,281267,PKS (policétidos)
cordyceps_militaris,CP023324.1,terpene,1510239,1541807,Terpenos
cordyceps_militaris,CP023324.1,NRPS,4288433,4353860,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023324.1,NRPS,4716779,4780580,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023324.1,"NRPS, T1PKS",6126345,6198673,PKS (policétidos)
cordyceps_militaris,CP023324.1,NRPS-like,6824266,6887628,NRPS (péptidos no ribosomales)
cordyceps_militaris,CP023324.1,NAPAA,6975955,7025025,Otro
yarrowia_lipolytica,NC_006067.1,terpene,1001171,1032509,Terpenos
yarrowia_lipolytica,NC_006070.1,terpene-precursor,2090370,2121354,Terpenos
yarrowia_lipolytica,NC_006071.1,terpene-precursor,626302,657337,Terpenos
yarrowia_lipolytica,NC_006072.1,terpene,661449,693678,Terpenos
komagataella_phaffii,CP014715.1,terpene-precursor,1976274,2007339,Terpenos
komagataella_phaffii,CP014716.1,terpene,707850,740016,Terpenos
komagataella_phaffii,CP014717.1,terpene-precursor,1930339,1961350,Terpenos
aspergillus_oryzae,NC_036435.1,T1PKS,114247,241057,PKS (policétidos)
aspergillus_oryzae,NC_036435.1,terpene-precursor,250812,282110,Terpenos
aspergillus_oryzae,NC_036435.1,T1PKS,321081,389315,PKS (policétidos)
aspergillus_oryzae,NC_036435.1,T3PKS,2253762,2314185,PKS (policétidos)
aspergillus_oryzae,NC_036435.1,betalactone,3151942,3197763,Otro
aspergillus_oryzae,NC_036435.1,indole,3550060,3581868,Otro
